1,L'atmosphère,exercice,https://hip-flight.github.io/hf-revise-ton-bia/atmosphere.html
2,Lecture des barbes de vent,exercice,https://hip-flight.github.io/hf-revise-ton-bia/barbule.html
3,Les cellules convectives,exercice,https://hip-flight.github.io/hf-revise-ton-bia/cellules-convectives.html
4,La force de Coriolis,cours,https://hip-flight.github.io/hf-revise-ton-bia/coriolis.html
5,Conversions et degrés d'altitudes,exercice,https://hip-flight.github.io/hf-revise-ton-bia/convert1.html
6,Les noms des nuages,exercice,https://hip-flight.github.io/hf-revise-ton-bia/nuages.html
7,Reconnaître un nuage,exercice,https://hip-flight.github.io/hf-revise-ton-bia/nuages2.html
8,Vent géostrophique,cours,https://hip-flight.github.io/hf-revise-ton-bia/geostrophique.html
9,Identifier les fronts météo,exercice,https://hip-flight.github.io/hf-revise-ton-bia/fronts.html
10,Le front occlus,cours,https://hip-flight.github.io/hf-revise-ton-bia/frontocclus.html
11,L'eau en surfusion,cours,https://hip-flight.github.io/hf-revise-ton-bia/surfondue.html


